STA,LON,LAT,ASSCM_SC,KAYEN_SC,ASSCM_VS,KAYEN_VS,USGS_VS,HVSR_VS,PWAVE_VS,ARRAY_VS
CCWO,117.962599999999995,-24.705400000000001,D,,270,nan,269,nan,nan,nan
CWA3,117.267099999999999,-23.611000000000001,D,,270,nan,276,nan,nan,nan
CP03,119.395399999999995,-21.730699999999999,B,,1100,nan,420,nan,nan,nan
CE3C,119.317999999999998,-25.188099999999999,B,,1100,nan,305,nan,nan,nan
CE3S,119.326400000000007,-25.404100000000000,D,,270,nan,242,nan,nan,nan
WS05,118.750200000000007,-24.981300000000001,B,,1100,nan,307,nan,nan,nan
CEHR,119.275999999999996,-23.145000000000000,D,,270,nan,547,nan,nan,nan
HPS24,116.273700000000005,-24.478500000000000,BC,,760,nan,298,nan,nan,nan
CWA1,117.158699999999996,-23.109300000000001,D,,270,nan,327,nan,nan,nan
HPS09,116.445300000000003,-24.133299999999998,C,,560,nan,403,nan,nan,nan
WR01,116.119200000000006,-22.543099999999999,B,,1100,nan,365,nan,nan,nan
CCVS,118.513300000000001,-24.318899999999999,C,,560,nan,722,nan,nan,nan
LP02,114.801299999999998,-24.964900000000000,D,,270,nan,286,nan,nan,nan
CWLY,115.224000000000004,-23.624700000000001,B,,1100,nan,255,nan,nan,nan
CEBU,118.100499999999997,-25.910599999999999,D,,270,nan,256,nan,nan,nan
CEPA,118.727300000000000,-25.972100000000001,D,,270,nan,323,nan,nan,nan
CEBY,115.965299999999999,-25.796700000000001,D,,270,nan,248,nan,nan,nan
CEDS,119.065399999999997,-25.878100000000000,D,,270,nan,257,nan,nan,nan
WS03,119.104799999999997,-26.103000000000002,D,,270,nan,229,nan,nan,nan
WR04,121.932400000000001,-26.186100000000000,BC,,760,nan,636,nan,nan,nan
CA05,121.100999999999999,-21.300899999999999,CD,,360,nan,742,nan,nan,nan
CA04,122.225999999999999,-21.693300000000001,D,,270,nan,261,nan,nan,nan
RP06,121.851399999999998,-21.513300000000001,C,,560,nan,215,nan,nan,nan
RP04,120.887500000000003,-21.266700000000000,BC,,760,nan,258,nan,nan,nan
CA11,120.343999999999994,-19.964800000000000,B,,1100,nan,338,nan,nan,nan
CA15,121.396000000000001,-19.496600000000001,C,,560,nan,250,nan,nan,nan
CA23,122.230999999999995,-18.253100000000000,E,,140,nan,314,nan,nan,nan
CA24,122.358999999999995,-18.178899999999999,E,,140,nan,273,nan,nan,nan
CA13,120.834999999999994,-19.740300000000001,E,,140,nan,254,nan,nan,nan
CA22,122.043000000000006,-18.364200000000000,B,,1100,nan,627,nan,nan,nan
CA14,121.287000000000006,-19.694099999999999,CD,,360,nan,371,nan,nan,nan
CAWA,120.641000000000005,-19.778199999999998,D,,270,nan,265,nan,nan,nan
CLNO,120.236999999999995,-22.260400000000001,D,,270,nan,264,nan,nan,nan
