,PAZ_FILE,SAMPLING_RATE,PAZ_CRN_FREQ,REV_CHA
513,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
514,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
515,../inputs/paz/hsa-3.paz,100.0,0.0,HNE
516,../inputs/paz/hsa-3.paz,100.0,0.0,HNN
517,../inputs/paz/hsa-3.paz,100.0,0.0,HNZ
518,../inputs/paz/cmg-5t.paz,125.0,0.0,HNE
519,../inputs/paz/cmg-5t.paz,125.0,0.0,HNN
520,../inputs/paz/cmg-5t.paz,125.0,0.0,HNZ
521,../inputs/paz/hsa-3.paz,100.0,0.0,HNE
522,../inputs/paz/hsa-3.paz,100.0,0.0,HNN
523,../inputs/paz/hsa-3.paz,100.0,0.0,HNZ
524,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHE
525,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHN
526,../inputs/paz/s6000-2hz.paz,100.0,1.84,EHZ
527,../inputs/paz/cmg-3t-100s.paz,40.0,0.01,BHZ
